DATE,DIRECTION,ROAD,LOCATION,EVENT,DAY,MONTH,DAYNUM,TIME,YEAR
Sun Oct 07 14:12:42 CDT 2018,WB,T.H.10,@ Foley Blvd,STALL,Sun,Oct,07,14:12:42,2018
Sun Oct 07 14:12:42 CDT 2018,WB,T.H.10,@ Foley Blvd,STALL,Sun,Oct,07,14:12:42,2018
Sun Oct 07 14:12:42 CDT 2018,WB,T.H.10,@ Foley Blvd,STALL,Sun,Oct,07,14:12:42,2018
Sun Oct 07 14:12:42 CDT 2018,WB,T.H.10,@ Foley Blvd,STALL,Sun,Oct,07,14:12:42,2018
Sun Oct 07 14:12:42 CDT 2018,WB,T.H.10,@ Foley Blvd,STALL,Sun,Oct,07,14:12:42,2018
Sun Oct 07 14:12:42 CDT 2018,WB,T.H.10,@ Foley Blvd,STALL,Sun,Oct,07,14:12:42,2018
Sun Oct 07 14:12:42 CDT 2018,WB,T.H.10,@ Foley Blvd,STALL,Sun,Oct,07,14:12:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
