,Label,Detectors,Lat,Lng
1577,U.S.169 NB N of Anderson Lakes Pkwy,V169N02,44.8445,-93.39838
1578,I-35 NB (MP 37.5),V35N20,44.02287,-93.2482
1579,U.S.169 NB @ Medicine Lake Rd,V169N07,45.00731,-93.40073
1580,I-35W NB @ 90th St,MP35WN09_1,44.84364,-93.29732
1581,I-94 EB E of Co Rd 37,VT94E30,45.229,-93.62554
1582,I-35W SB @ 50th St,MP35WS02_1,44.91221,-93.27539
1583,I-35W SB @ 50th St,MP35WS02_2,44.91221,-93.27539
1584,U.S.14 EB (Mankato),V14E50,44.1844,-94.02669
1585,I-35W SB @ 70th St,L35WS62_3,44.87623,-93.29842
1586,I-35W SB @ 70th St,L35WS62_2,44.87623,-93.29848
1587,I-35W SB @ 70th St,L35WS62_1,44.87623,-93.29851
1588,I-35W NB @ 90th St,MP35WN09_2,44.84364,-93.29732
1589,I-94 EB @ Franklin Ave,L94E62_3,44.96287,-93.21378
1590,I-94 EB @ Franklin Ave,L94E62_4,44.96292,-93.21378
1591,I-35W NB N of Minnesota River,L35WN27_3,44.80488,-93.29084
1592,I-35 SB (MP 79.5),V35S75,44.5892,-93.29714
1593,I-35W NB N of Minnesota River,L35WN27_2,44.80488,-93.29079
1594,I-94 EB @ Franklin Ave,L94E62_1,44.96282,-93.21388
1595,I-35W NB N of Minnesota River,L35WN27_1,44.80488,-93.29075
1596,I-94 EB @ Franklin Ave,L94E62_2,44.96285,-93.21381
1597,I-35 NB @ 9th Ave W,V35N176,46.77868,-92.10559
1598,U.S.169 NB S of T.H.41,V169N11,44.74731,-93.58667
1599,I-35 NB @ Garfield Ave,V35N171,46.76967,-92.11765
1600,I-35 SB @ Crystal Lake Rd,V35S70,44.72826,-93.28284
1601,I-35W SB @ Black Dog Rd,L35WS74_1,44.79695,-93.28948
1602,I-94 WB E of U.S.75 (MP 0.996),VDL94W96,46.84753,-96.75951
1603,I-35W SB @ Black Dog Rd,L35WS74_2,44.79695,-93.28944
1604,I-35W SB @ Black Dog Rd,L35WS74_3,44.79695,-93.28939
1605,I-94 EB W of T.H.24,VT94E24,45.44528,-94.1175
1606,I-35W SB @ Black Dog Rd,L35WS74_4,44.79695,-93.28935
1607,I-94 EB W of T.H.23,VT94E22,45.54161,-94.31986
1608,I-94 EB E of Co Rd 75,VT94E23,45.48182,-94.14313
1609,I-35W SB @ 33rd St,L35WS51_4,44.94363,-93.27492
1610,I-94 WB @ T.H.336 (MP 6.564),VDL94W90,46.84528,-96.64167
1611,I-35W SB @ 33rd St,L35WS51_3,44.94363,-93.27497
1612,I-35W SB @ 33rd St,L35WS51_2,44.94363,-93.27501
1613,I-94 EB @ Hamline Ave,L94E74_4,44.95172,-93.15386
1614,I-35W SB @ 33rd St,L35WS51_1,44.94363,-93.27505
1615,I-35W NB @ 106th St,L35WN28_4,44.80983,-93.29149
1616,I-94 EB @ Tunnel Entrance,L94E51_2,44.97029,-93.28764
1617,I-94 EB @ Hamline Ave,L94E74_2,44.95169,-93.15386
1618,I-94 EB @ Tunnel Entrance,L94E51_1,44.97029,-93.28769
1619,I-94 EB @ Hamline Ave,L94E74_3,44.95171,-93.15386
1620,I-94 EB @ Hamline Ave,L94E74_1,44.95168,-93.15386
1621,I-94 EB @ Tunnel Entrance,L94E51_3,44.97029,-93.28759
1622,I-94 EB @ MnRoad,VT94E28,45.26451,-93.71668
1623,I-94 EB E of MnRoad,VT94E29,45.2486,-93.68406
1624,I-94 EB @ West River St,VT94E26,45.32047,-93.84182
1625,I-94 EB @ Co Rd 75,VT94E27,45.29089,-93.77465
1626,I-494 WB @ Minnesota River,VM494W04,44.86148,-93.1896
1627,T.H.60 NB W of Paul Ave,V60E50,43.6024,-95.61855
1628,T.H.169 NB,V169N30,44.18691,-94.01275
1629,I-494 WB @ T.H.61,V494W01T3,44.88727,-93.00272
1630,T.H.60 EB,V60E55,43.84716,-95.12131
1631,I-494 WB @ Hardman Ave,V494W01T4,44.88214,-93.02146
1632,I-494 WB @ Lake Rd,V494W01T1,44.91425,-92.98205
1633,I-494 WB @ Carver Ave,V494W01T2,44.89995,-92.99559
1634,I-35W SB @ 42nd St,MP35WS01_2,44.92913,-93.27522
1635,I-35W SB @ 42nd St,MP35WS01_1,44.92913,-93.27522
1636,U.S.14 EB @ C.S.A.H.22,V14E72,44.03451,-92.50755
1637,I-35W NB @ 33rd St,L35WN49_1,44.94363,-93.27468
1638,I-35W NB @ 33rd St,L35WN49_2,44.94363,-93.27472
1639,U.S.14 EB @ 50th Ave NW,V14E70,44.04015,-92.54061
1640,I-35W NB @ 33rd St,L35WN49_3,44.94363,-93.27477
1641,I-35W NB @ 33rd St,L35WN49_4,44.94363,-93.2748
1642,I-35 SB (MP 14.75),V35S97,43.7054,-93.3201
1643,I-35W NB @ Black Dog Rd,L35WN26_3,44.79695,-93.28923
1644,I-35W NB @ Black Dog Rd,L35WN26_2,44.79695,-93.28918
1645,I-35W NB @ Black Dog Rd,L35WN26_1,44.79695,-93.28914
1646,T.H.371 SB @ 250th St,VT371S10,46.11807,-94.34069
1647,I-94 EB @ 8th St,VT94E18,45.6269,-94.57664
1648,I-35 SB (MP 35.79),V35S90,43.9993,-93.2552
1649,I-94 WB @ 1st Ave,L94W50_4,44.96644,-93.27713
1650,I-35 SB (MP 21.58),V35S95,43.8005,-93.2982
1651,T.H.62 WB @ Lexington Ave,V110W01,44.88388,-93.15014
1652,I-35W SB N of Cliff Rd,L35WS75_1,44.79008,-93.28906
1653,I-35W SB N of Cliff Rd,L35WS75_2,44.79008,-93.28902
1654,I-35W SB N of Cliff Rd,L35WS75_3,44.79008,-93.28897
1655,I-94 WB @ 1st Ave,L94W50_3,44.96648,-93.27713
1656,I-35W SB N of Cliff Rd,L35WS75_4,44.79008,-93.28893
1657,I-94 WB @ 1st Ave,L94W50_2,44.96651,-93.27713
1658,T.H.62 EB E of Gleason Rd,V62E01,44.88844,-93.37838
1659,I-94 WB @ 1st Ave,L94W50_1,44.96685,-93.27507
1660,T.H.62 EB @ Penn Ave,V62E03,44.89063,-93.30888
1661,T.H.62 EB E of Portland Ave,V62E05,44.89042,-93.26013
1662,I-35W SB @ 37th St,L35WS52_4,44.93597,-93.27482
1663,I-35W SB @ 37th St,L35WS52_3,44.93597,-93.27486
1664,I-35W SB @ 37th St,L35WS52_2,44.93597,-93.27491
1665,I-35W SB @ 37th St,L35WS52_1,44.93597,-93.27495
1666,I-35E SB @ Deerwood Dr,V35ES10,44.81302,-93.18086
1667,I-35 SB (MP 46.92),V35S85,44.1571,-93.2577
1668,I-94 WB @ Sauk Centre,VT94W40,45.7117,-94.9249
1669,I-94 EB W of Tunnel Entrance,L94E50_2,44.9729,-93.28758
1670,I-35W NB @ 70th St,L35WN38_3,44.87623,-93.29829
1671,I-35W NB @ 70th St,L35WN38_2,44.87623,-93.29825
1672,I-35W NB @ 70th St,L35WN38_1,44.87623,-93.2982
1673,I-94 EB W of Tunnel Entrance,L94E50_1,44.9729,-93.28763
1674,I-35 SB (MP 62.24),V35S80,44.3612,-93.2932
