,Station,Lat,Lng
11663,no ID,44.00702,-92.4621
11664,no ID,44.00703,-92.46137
11665,no ID,44.00704,-92.46051
11666,no ID,44.00707,-92.46016
11667,no ID,44.00707,-92.45996
11668,no ID,44.00708,-92.45878
11669,no ID,44.00705,-92.45875
11670,no ID,44.00709,-92.45737
11671,no ID,44.00708,-92.45687
11672,no ID,44.00708,-92.45619
11673,no ID,44.0071,-92.45553
11674,no ID,44.00709,-92.45494
11675,no ID,44.00705,-92.45492
11676,no ID,44.00706,-92.45435
11677,no ID,44.00709,-92.45377
11678,no ID,44.00712,-92.45353
11679,no ID,44.00712,-92.45266
11680,no ID,44.00708,-92.45263
11681,no ID,44.00709,-92.45145
11682,no ID,44.00708,-92.45079
