,Station,Heading,Time,Order,Speed,Flow,Lat,Lng
73,S53,NB,Thu Oct 11 17:46:29 CDT 2018,67.0,66,960,44.90194,-93.2748
75,S54,NB,Thu Oct 11 17:46:29 CDT 2018,65.0,66,810,44.90693,-93.27476
5,S556,NB,Thu Oct 11 17:46:29 CDT 2018,49.0,0,0,44.96544,-93.26478
4,S557,NB,Thu Oct 11 17:46:29 CDT 2018,47.0,7,880,44.96565,-93.25434
3,S559,SB,Thu Oct 11 17:46:29 CDT 2018,39.0,20,880,44.96608,-93.25418
77,S56,NB,Thu Oct 11 17:46:29 CDT 2018,63.0,21,1260,44.9199,-93.2746
6,S560,SB,Thu Oct 11 17:46:29 CDT 2018,40.0,0,0,44.96605,-93.26399
21,S565,NB,Thu Oct 11 17:46:29 CDT 2018,48.0,0,0,44.96568,-93.26474
20,S566,NB,Thu Oct 11 17:46:29 CDT 2018,44.0,32,1860,44.96743,-93.25369
2,S567,,Sun Oct 07 21:21:29 CDT 2018,,63,600,,
47,S567,,Sun Oct 07 21:21:29 CDT 2018,,63,600,,
107,S567,,Sun Oct 07 21:21:29 CDT 2018,,63,600,,
182,S567,,Sun Oct 07 21:21:29 CDT 2018,,63,600,,
48,S567,,Sun Oct 07 21:21:59 CDT 2018,,58,480,,
108,S567,,Sun Oct 07 21:21:59 CDT 2018,,58,480,,
183,S567,,Sun Oct 07 21:21:59 CDT 2018,,58,480,,
109,S567,,Sun Oct 07 21:22:29 CDT 2018,,62,480,,
184,S567,,Sun Oct 07 21:22:29 CDT 2018,,62,480,,
185,S567,,Sun Oct 07 21:22:59 CDT 2018,,63,520,,
0,S567,,Wed Oct 03 01:16:59 CDT 2018,,54,,,
1,S567,,Wed Oct 03 01:16:59 CDT 2018,,54,,,
45,S567,,Wed Oct 03 01:16:59 CDT 2018,,54,,,
46,S567,,Wed Oct 03 01:16:59 CDT 2018,,54,,,
105,S567,,Wed Oct 03 01:16:59 CDT 2018,,54,,,
106,S567,,Wed Oct 03 01:16:59 CDT 2018,,54,,,
180,S567,,Wed Oct 03 01:16:59 CDT 2018,,54,,,
181,S567,,Wed Oct 03 01:16:59 CDT 2018,,54,,,
8,S568,,Sun Oct 07 21:21:29 CDT 2018,,50,360,,
55,S568,,Sun Oct 07 21:21:29 CDT 2018,,50,360,,
117,S568,,Sun Oct 07 21:21:29 CDT 2018,,50,360,,
194,S568,,Sun Oct 07 21:21:29 CDT 2018,,50,360,,
56,S568,,Sun Oct 07 21:21:59 CDT 2018,,43,480,,
118,S568,,Sun Oct 07 21:21:59 CDT 2018,,43,480,,
195,S568,,Sun Oct 07 21:21:59 CDT 2018,,43,480,,
119,S568,,Sun Oct 07 21:22:29 CDT 2018,,53,480,,
196,S568,,Sun Oct 07 21:22:29 CDT 2018,,53,480,,
197,S568,,Sun Oct 07 21:22:59 CDT 2018,,37,240,,
18,S568,NB,Thu Oct 11 17:46:29 CDT 2018,35.0,49,1440,44.98399000000001,-93.24197
6,S568,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
7,S568,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
53,S568,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
54,S568,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
115,S568,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
116,S568,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
192,S568,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
193,S568,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
14,S569,,Sun Oct 07 21:21:29 CDT 2018,,92,270,,
63,S569,,Sun Oct 07 21:21:29 CDT 2018,,92,270,,
127,S569,,Sun Oct 07 21:21:29 CDT 2018,,92,270,,
206,S569,,Sun Oct 07 21:21:29 CDT 2018,,92,270,,
64,S569,,Sun Oct 07 21:21:59 CDT 2018,,84,330,,
128,S569,,Sun Oct 07 21:21:59 CDT 2018,,84,330,,
207,S569,,Sun Oct 07 21:21:59 CDT 2018,,84,330,,
129,S569,,Sun Oct 07 21:22:29 CDT 2018,,81,840,,
208,S569,,Sun Oct 07 21:22:29 CDT 2018,,81,840,,
209,S569,,Sun Oct 07 21:22:59 CDT 2018,,89,360,,
19,S569,NB,Thu Oct 11 17:46:29 CDT 2018,34.0,79,1230,44.99116,-93.23629
12,S569,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
13,S569,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
61,S569,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
62,S569,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
125,S569,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
126,S569,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
204,S569,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
205,S569,,Wed Oct 03 01:16:59 CDT 2018,,0,,,
76,S57,NB,Thu Oct 11 17:46:29 CDT 2018,61.0,40,1680,44.92716,-93.27462
17,S570,,Sun Oct 07 21:21:29 CDT 2018,,63,520,,
67,S570,,Sun Oct 07 21:21:29 CDT 2018,,63,520,,
132,S570,,Sun Oct 07 21:21:29 CDT 2018,,63,520,,
212,S570,,Sun Oct 07 21:21:29 CDT 2018,,63,520,,
68,S570,,Sun Oct 07 21:21:59 CDT 2018,,83,280,,
133,S570,,Sun Oct 07 21:21:59 CDT 2018,,83,280,,
213,S570,,Sun Oct 07 21:21:59 CDT 2018,,83,280,,
134,S570,,Sun Oct 07 21:22:29 CDT 2018,,76,440,,
214,S570,,Sun Oct 07 21:22:29 CDT 2018,,76,440,,
215,S570,,Sun Oct 07 21:22:59 CDT 2018,,71,640,,
26,S570,NB,Thu Oct 11 17:46:29 CDT 2018,33.0,75,1240,44.99644,-93.23823
15,S570,,Wed Oct 03 01:16:59 CDT 2018,,66,,,
16,S570,,Wed Oct 03 01:16:59 CDT 2018,,66,,,
65,S570,,Wed Oct 03 01:16:59 CDT 2018,,66,,,
66,S570,,Wed Oct 03 01:16:59 CDT 2018,,66,,,
130,S570,,Wed Oct 03 01:16:59 CDT 2018,,66,,,
131,S570,,Wed Oct 03 01:16:59 CDT 2018,,66,,,
210,S570,,Wed Oct 03 01:16:59 CDT 2018,,66,,,
211,S570,,Wed Oct 03 01:16:59 CDT 2018,,66,,,
26,S571,,Sun Oct 07 21:21:29 CDT 2018,,60,320,,
79,S571,,Sun Oct 07 21:21:29 CDT 2018,,60,320,,
147,S571,,Sun Oct 07 21:21:29 CDT 2018,,60,320,,
230,S571,,Sun Oct 07 21:21:29 CDT 2018,,60,320,,
80,S571,,Sun Oct 07 21:21:59 CDT 2018,,60,680,,
148,S571,,Sun Oct 07 21:21:59 CDT 2018,,60,680,,
231,S571,,Sun Oct 07 21:21:59 CDT 2018,,60,680,,
149,S571,,Sun Oct 07 21:22:29 CDT 2018,,60,320,,
232,S571,,Sun Oct 07 21:22:29 CDT 2018,,60,320,,
233,S571,,Sun Oct 07 21:22:59 CDT 2018,,56,440,,
24,S571,NB,Thu Oct 11 17:46:29 CDT 2018,31.0,56,1600,45.00199,-93.23465
24,S571,,Wed Oct 03 01:16:59 CDT 2018,,57,,,
25,S571,,Wed Oct 03 01:16:59 CDT 2018,,57,,,
77,S571,,Wed Oct 03 01:16:59 CDT 2018,,57,,,
78,S571,,Wed Oct 03 01:16:59 CDT 2018,,57,,,
145,S571,,Wed Oct 03 01:16:59 CDT 2018,,57,,,
146,S571,,Wed Oct 03 01:16:59 CDT 2018,,57,,,
228,S571,,Wed Oct 03 01:16:59 CDT 2018,,57,,,
229,S571,,Wed Oct 03 01:16:59 CDT 2018,,57,,,
32,S572,,Sun Oct 07 21:21:29 CDT 2018,,68,440,,
87,S572,,Sun Oct 07 21:21:29 CDT 2018,,68,440,,
157,S572,,Sun Oct 07 21:21:29 CDT 2018,,68,440,,
242,S572,,Sun Oct 07 21:21:29 CDT 2018,,68,440,,
88,S572,,Sun Oct 07 21:21:59 CDT 2018,,67,240,,
158,S572,,Sun Oct 07 21:21:59 CDT 2018,,67,240,,
243,S572,,Sun Oct 07 21:21:59 CDT 2018,,67,240,,
159,S572,,Sun Oct 07 21:22:29 CDT 2018,,62,400,,
244,S572,,Sun Oct 07 21:22:29 CDT 2018,,62,400,,
245,S572,,Sun Oct 07 21:22:59 CDT 2018,,62,440,,
25,S572,NB,Thu Oct 11 17:46:29 CDT 2018,29.0,67,1720,45.0007,-93.22349
30,S572,,Wed Oct 03 01:16:59 CDT 2018,,61,,,
31,S572,,Wed Oct 03 01:16:59 CDT 2018,,61,,,
85,S572,,Wed Oct 03 01:16:59 CDT 2018,,61,,,
86,S572,,Wed Oct 03 01:16:59 CDT 2018,,61,,,
155,S572,,Wed Oct 03 01:16:59 CDT 2018,,61,,,
